Image,Pipeline,OCR_Output,,,
1,Original,"WHOLE
8j
Nutrition Facts
GRAIN
Per 3/4 cup (29 g)
FIRST
Amouni
Cereal Plus 125 mL
IMGREDIENT
Only
290 p.s. MiIk
Calories
110
170
90 Dally Value
HoneyaNut
Fat
55g*
6 %
Saturated 0.3
10 %
Trans 0 g
Cheerios
Cholesterol 0 mg
Sodlum 160 mg""
9 %
Carbohydrate 23 g
8 %
10 %
MadE
WITH
Rel
Flbre 2 9
8 %
Sugars 9 9
Protein 3 g
Vuamin A
6 %
Vitamin €
0 %
Calcium
10 %
25 %
Iron
30 %
Vitamin D
30 %
Niacin
6 %
15 %
Vitamin B6
10 %
15 %
~Oat FIDRE
Folate
10 %
helps LoweR:
Pantothenate
10 %
chOLeSTEROL
Pnosphorus
20 %
Magnesium
10 %
15 %
Zinc
10 %
430 g & (REAL
Wlia
Amzuni In cerea
Hnvy","WHOLE
8
Gincrz
Nutrition Facts
GRAIN
Per 3/4 cup (29 g)
FIRST
Amouni
Cereal Plus 125 mL
IMGREDIENT
Only
290 p.s. MiIk
Calories
110
170
M
90 Dally Value
HoneyaNut
Fat
55g*
6 %
Saturated 0.3
10 %
Trans 0 g
Cheerios
Cholesterol 0 mg
Sodlum 160 mg""
9 %
Carbohydrate 23 g
8 %
10 %
MadE WTTH
Rel
Flbre 2 9
8 %
9 g
Protein 3 g
Viamin A
Vitamin C
Calcium
10 %
Iron
30 %
Viamin D
30 %
Niacin
6 %
15 %
Vitamin B6
10 %
15 %
Oat FIDRE 
Folate
10 %
helps LoweR
Pantothenate
10 %
CHOLESTEROL
Pnosphorus
20 %
Magnesium
10 %
15 %
Zinc
6 %
10 %
WALM
430 g & (REAL
Wia
Amzuni In cerea
Hner
Sugars","WHOLE
Genciol
Nutrition Facts
GRAIN
Per 3/4 cup (29 g)
HL
FIRST
Amount
Cereal Plus 125 mL
IMGREDIENT
Only 2% p.s. MiIk
Calories
110
170
Dally Value
HoneyaNut
Fat 1.5g*
2 %
6 %
Saturated 0.3 g
2 %
10 %
Trans 0 g
Cheerios
Cholesterol 0 mg
Sodium 160 mg
7 %
9 %
Carbohydrate 23 g
8 %
10 %
Ma dE
WiTH
Rel
Flbre 2 9
8 %
8 %
Sugars 9 g
Protein 3 g
Vitamin A
0 %
6 %
Vitamin €
0 %
Calcium
10 %
25 %
Iron
30 %
30 %
Viramin D
0 %
30 %
Niacin
6 %
15 %
Vitamin B6
10 %
15 %
Oat FIBRE
Folate
8 %
10 %
helps LoIeR
Pantothenate
6 %
10 %
choleSterOL
Pnosphorus
8 %
20 %
Magnesium
10 %
15 %
Zinc
6 %
10 %
FMmuNe Ma
q6raatdro tr ' Hik
430 &
cbreaL
0n0560  ILDITARMvN
Amcuni in cereal
Lely MiriaahlipldaWct UEJL
Honey","WHOLE
8
Secai
Nutrition Facts
GRAIN
Per 3/4 cup (29 9
JhL
FIRST
Amount
Cereal Plus 125mL
IMCREDIENT
Only 290 p.s. Milk
Calories
110
170
0
0
Dally Value
HoneyaNut
Fat 1.5g""
2 %
6 %
Saturated 0.3 g
2 %
10 %
Trans 0 g
Cheerios
Cholesterol 0 mg
Sodium 160 mg
7 %
9
Carbohydrate 23g
8 %
10 %
MadE
With
Rel
Flbre 2 g
8 %
8
Sugars 9 9
Protein 3 g
Vitamin A
0 %
Vitamin €
0 %
Calcium
10 %
25
Iron
30 %
30
Vitamin D
0 %
30
Niacin
6 %
15
Vitamin Be 
10 %
15 %
OAT FIBRE
Folate
8 %
10
helps Lower
Pantothenate
6 %
10 %
choleStePoL
Phosphorus
8 %
20 %
Magnesium
10 %
15 %
Zinc
6 %
10 %
WLDNUhi
B0 & @ (EAL
AmouniIn cereal
Ik
WlY
Honrry"
1,Grayscale,,,,
1,Resized,,,,
1,CLAHE_Resized,,,,
2,Original,"% lowfat
chocolate milk @o'
Grade A 
6
Vitamins A & 0
Kensos auastwfresekimncos KM t57,
8
FRIM rS1 ]
DIFFERENCE E Twx Mu
IREATED AHD
WoN-OSt-TREATED Cows""
Qhments Q8 QUESTIOMS?
KEEP
KrogeRLom
REFRIGERATED
Facts
Amounusening
#DVAmountsening
IDV
Total Fat 39
Total Carb_
299
1%
iner
per
Sat Fat ] Sg
9%
Fiber< g 
27
size
Fat Og
Total Sugars 289
(240mL|
Larng
m 14k44sgJ1%
170 Sodium ?odmg
9% Protein Bg
tulna
Chuaia
La
Fai 84
VLa|
Erpeuin
L Do
ONE GALLON
rasiuadav
(3.78L)
Waearvers=
Qiaun
GUARANIEED
488n #W40r _
Nutrition
8
senings 
conta ""
Drelan
Serving '.
Trans
Cholesl
Calories _
0iL","% lowfat
chocolate milk @o
GradeA 
vitamins A & 0
Kensos auastwfresekimncos KM t57,
FRVIST TRTEDnw
Hffersicteas oor
8
Qaun =
CowS
Qhments QR QuESTIOMS?
KEEP
KroGeRLom
REFRIGERATED
Facts
Amounusening
#DVAmountsening
IDV
Total Fat 39
Total Carb_
299
149
iner
per
Sat Fat ] Sg
9%
Fiber< g 
27
size
Fat Og
Total Sugars 289
(240mL|
Larng
m 14k4sg31%
170 Sodium ?odmg
9% Protein Bg
tulna
Chaia
La
Fa 84
L n
DtDX
ONE GALLON
rasiualav
(3.78L)
3
Ouafaruers [
GUARANIEED
488n #W40r _
Nutrition
8
senvings 
coma
Drelan
Serving .
Trans
Cholesl
Calories _
0iL","% lowfat
chocolate milk @o
Grade A
=
vitamins A & 0
Rhbosaae u@gUImeRcoS HMX AS7,
150eo de5122
6
NoN MSt-TREATED CowS""
9
652
OMMETS OR QUESTiOHS?
KEEP
OR 9
WMaKrogeRLom
REFRIGERATED
0O
AmounUserving % DV Amounuserving
IDV
16
Total Fat 89
4 Total Carb: 29g
11%
per
Sat Fat ] Sg
9%
Dielary Fiber <1g
2
size
Jrans Fat Og
Total Sugars 289
8 f 0z
(240mL) Cholest
ka
14ksgr31%
Det
Sodlum
9% Proteln 8g
170 MoiDk
Cl
2u
Laka
Re8a
lalsa
FEEO
I
AWL
CAChul
ONE GALLON
OALLMD 1620 @lnblat
easituaut
(3.78L)
FRIM
Quaun 
GUARANIEED.
1do
6901
Nutrition
Facts
1
servings'
container
Serving 
150n9
Calories
oumg
Recing
plL","% lowfat
chocolate milk @o
Graden
3
Vitamins0& 0 
43e8k $ me6 W @MUV meRCoHS WX m57,
ISeTo5oe5224
6
NoN MST-IREATED CoHS""
622
OR
Owwansc
QR QUESTOKS?
KEEP
WaKROGERcoi
REFRIGERATED
Amounusening XDV Amounusering
EADv
16,
Total FFat 89
4 Total Carb:
4X
8
per
Sal Fat ] Sg_
9%
Dielar Fiber <lg
27
slze
Jrans Fat Og
Total Sugars 289
8 foz 
(240mL) Cholest
m
KedSar31a
Dct
170 Sodium
9% Proteln 89
Moioa
ChaiS
Len4n
Reil
Tear
ONE GALLON
easituautd
(3.78L)
MaReisno
FrIME
QUau
GUARAHIEED.
24180
#A[
Nutrition
Facts
299
servings '
container
Serving
15mn9
Calories
2odmg
Kening"
2,Grayscale,,,,
2,Resized,,,,
2,CLAHE_Resized,,,,
3,Original,"WHOLE
MILK
VITAMIN D
INGREDIEMTS: MIV
[Nutrition Facts] WGReD D3r
servinos der cotta 7er
COMTALYS VILK
ServineSize
cupi2aLmll
AMoun pez5267inn
Calories
150|
Teouitalue:
Total Fateg
10*]SELL / DAIE AND
Salucated Fal 59
FLan o Stavrkocn
PACKAGE
chalesteral 35m0
127
Souium
Totel Carbchydrale 129
Dletary FberCh
hansl ondein
Proteln %g.
MIno2bet6"" LIeuit3
ogo
CCEteae
Fe09
1249  
Suatte","WHOLE
MILK
VITAMIN D
[Nutrition Facts ] wGnen Cats: MUX
VIIAMIN D9
servings per conta 7e
COMTAlYS VILK
SerineSizl
cup2-Lmll
AMqun  pez5267inn
Calories_
150|
Teouitalue
Total Fat eg
10*] SELL B/ DAIE AHD
Salucated Fal 59
pLl a STANPed €
FZCg
PACKAGE
chalesteral 35m0
127
Souium
I23mg
Totel Carbchydrale I29
Vielar Fia
Tcal Sugala 120 [
hansl  ondetin
Proteln 8g.
MIno25 7i6"" Leuit
mogor","WHOLE
MILK
VITAMIN D
WGREDIEHTS: MIUI
Nutrition Facts
MITAMIn 03
8 servings per conta ner
costaiNS MiLK
Sening size
Icup I2 dul]
Amoun] per 526tind
(Calories
150
Dall Valur""
Total Fat 89
10*6 SELL 6/ DATE AHD
Salurated Fal 59
253  PLaii # SianredON
Trans F2 0g
PACKASE
Cholesterol
71273
Sodium 123m9
526
Totsl Carbohydrale 129
47
Dlctary Fiber Cp
0r6
Tcal Sugars 120
honblplonJ
038
Proteln 89
4655
F7nd231e710  0cu373""
Imot9ot
RianD oi
Wnunicre
Iungbeodaadidnou 200
DutLot
Tn
Satad
(3870","WHOLE
MILK
VITAMIN D
WGRED EUTS MI
Nutrition Facts] WGRED €ur
8 servings per cotra hor
costar"" S WiLK
Sening Size
IurL
I0uL
Amoun:petost
ICalories
150
Tofal Fat€9
10 3 SELLBYDATEand
SalurateJF3tB9
25iFlain g Sianredon
Tansf2709
PACKASE
cholesterolgsn9
7137
Sodium 123m9
65
{Tot 1 carbchydrale 129
Dicury FbC
Tr
1aa1 Suoats 129
0an341 33nb4m
0,
Protelng
163
Rnnd2bitieoLIcunrI
Imuds
RisunDIC"
3,Grayscale,,,,
